Node Number	X Location (m)	Y Location (m)	Z Location (m)	
8337	-9.7693e-002	-2.5144e-002	3.5807e-003	
8339	-9.9697e-002	-2.5145e-002	3.5861e-003	
8341	-0.1017	-2.5147e-002	3.5915e-003	
8343	-0.10371	-2.5146e-002	3.5968e-003	
8345	-0.10571	-2.5143e-002	3.6019e-003	
8347	5.71e-002	-1.3526e-002	2.9404e-003	
8348	5.5096e-002	-1.3508e-002	2.9444e-003	
8351	5.3092e-002	-1.3497e-002	2.9499e-003	
8353	5.1087e-002	-1.3485e-002	2.9555e-003	
8355	4.9084e-002	-1.3463e-002	2.9597e-003	
8357	4.7081e-002	-1.3423e-002	2.9611e-003	
8359	4.5079e-002	-1.3359e-002	2.9591e-003	
8361	4.3079e-002	-1.3276e-002	2.9543e-003	
8363	4.1079e-002	-1.3177e-002	2.9475e-003	
8365	3.908e-002	-1.3066e-002	2.9395e-003	
8367	3.7082e-002	-1.2946e-002	2.9311e-003	
8369	3.5085e-002	-1.2817e-002	2.922e-003	
8371	3.3092e-002	-1.2668e-002	2.9109e-003	
8373	3.1103e-002	-1.2491e-002	2.8967e-003	
8375	2.9121e-002	-1.2276e-002	2.8784e-003	
8377	2.7148e-002	-1.2015e-002	2.8551e-003	
8379	2.5181e-002	-1.1712e-002	2.8282e-003	
8381	2.3218e-002	-1.138e-002	2.8002e-003	
8383	2.1256e-002	-1.103e-002	2.7731e-003	
8385	1.9292e-002	-1.0676e-002	2.749e-003	
8387	1.7327e-002	-1.0327e-002	2.7295e-003	
8389	1.5374e-002	-9.9688e-003	2.713e-003	
8391	1.344e-002	-9.5755e-003	2.6971e-003	
8393	1.1536e-002	-9.1218e-003	2.681e-003	
8395	9.669e-003	-8.5851e-003	2.6647e-003	
8397	7.8258e-003	-7.9465e-003	2.6519e-003	
8399	5.9551e-003	-7.244e-003	2.66e-003	
8401	3.9958e-003	-6.5597e-003	2.7009e-003	
8403	1.883e-003	-6.0322e-003	2.7638e-003	
8405	-3.8873e-004	-5.9309e-003	2.7926e-003	
8407	-2.6147e-003	-6.4658e-003	2.7544e-003	
8409	-4.606e-003	-7.4204e-003	2.7186e-003	
8411	-6.3699e-003	-8.5773e-003	2.7393e-003	
8413	-7.9577e-003	-9.8401e-003	2.8218e-003	
8415	-9.4138e-003	-1.1168e-002	2.9542e-003	
8417	-1.077e-002	-1.2539e-002	3.1235e-003	
8419	-1.2057e-002	-1.3932e-002	3.318e-003	
8421	-1.3309e-002	-1.5332e-002	3.528e-003	
8423	-1.4551e-002	-1.6729e-002	3.7475e-003	
8425	-1.5807e-002	-1.8112e-002	3.9722e-003	
8427	-1.7106e-002	-1.9468e-002	4.1991e-003	
8429	-1.8482e-002	-2.0776e-002	4.4247e-003	
8431	-1.9986e-002	-2.1995e-002	4.6434e-003	
8433	-2.1659e-002	-2.306e-002	4.8431e-003	
8435	-2.3495e-002	-2.3914e-002	5.0102e-003	
8437	-2.5456e-002	-2.4521e-002	5.133e-003	
8439	-2.7484e-002	-2.4884e-002	5.2085e-003	
8441	-2.9528e-002	-2.5048e-002	5.2444e-003	
8443	-3.1565e-002	-2.5073e-002	5.2527e-003	
8445	-3.3587e-002	-2.5009e-002	5.244e-003	
8447	-3.5592e-002	-2.4904e-002	5.2277e-003	
8449	-3.7587e-002	-2.4802e-002	5.2124e-003	
8451	-3.9577e-002	-2.4746e-002	5.2058e-003	
8453	-4.1569e-002	-2.4748e-002	5.21e-003	
8455	-4.3567e-002	-2.4788e-002	5.2213e-003	
8457	-4.557e-002	-2.4844e-002	5.2356e-003	
8459	-4.7578e-002	-2.4893e-002	5.2487e-003	
8461	-4.9588e-002	-2.4914e-002	5.2566e-003	
8463	-5.1597e-002	-2.4905e-002	5.2593e-003	
8465	-5.3604e-002	-2.4879e-002	5.259e-003	
8467	-5.5607e-002	-2.4847e-002	5.2578e-003	
8469	-5.7609e-002	-2.4823e-002	5.2579e-003	
8471	-5.9611e-002	-2.4814e-002	5.2611e-003	
8473	-6.1613e-002	-2.482e-002	5.267e-003	
8475	-6.3617e-002	-2.4834e-002	5.2744e-003	
8477	-6.5622e-002	-2.4849e-002	5.282e-003	
8479	-6.7627e-002	-2.4859e-002	5.2889e-003	
8481	-6.9632e-002	-2.486e-002	5.2942e-003	
8483	-7.1637e-002	-2.4854e-002	5.2984e-003	
8485	-7.3642e-002	-2.4844e-002	5.3021e-003	
8487	-7.5646e-002	-2.4835e-002	5.3059e-003	
8489	-7.765e-002	-2.4829e-002	5.3104e-003	
8491	-7.9654e-002	-2.4828e-002	5.316e-003	
8493	-8.1658e-002	-2.483e-002	5.3222e-003	
8495	-8.3662e-002	-2.4834e-002	5.3288e-003	
8497	-8.5667e-002	-2.4837e-002	5.3353e-003	
8499	-8.7671e-002	-2.4837e-002	5.3415e-003	
8501	-8.9676e-002	-2.4835e-002	5.3473e-003	
8503	-9.168e-002	-2.4831e-002	5.3529e-003	
8505	-9.3684e-002	-2.4826e-002	5.3586e-003	
8507	-9.5688e-002	-2.4823e-002	5.3646e-003	
8509	-9.7693e-002	-2.4823e-002	5.3711e-003	
8511	-9.9697e-002	-2.4824e-002	5.3779e-003	
8513	-0.1017	-2.4824e-002	5.3848e-003	
8515	-0.10371	-2.4823e-002	5.3915e-003	
8517	-0.10571	-2.482e-002	5.398e-003	
8519	5.71e-002	-1.3278e-002	3.9099e-003	
8520	5.5096e-002	-1.3259e-002	3.9134e-003	
8523	5.3091e-002	-1.3247e-002	3.919e-003	
8525	5.1087e-002	-1.3235e-002	3.9247e-003	
8527	4.9084e-002	-1.3213e-002	3.9284e-003	
8529	4.7081e-002	-1.3173e-002	3.9281e-003	
8531	4.508e-002	-1.3109e-002	3.9228e-003	
8533	4.3079e-002	-1.3026e-002	3.9134e-003	
8535	4.108e-002	-1.2926e-002	3.9011e-003	
8537	3.9081e-002	-1.2815e-002	3.8869e-003	
8539	3.7083e-002	-1.2696e-002	3.872e-003	
8541	3.5087e-002	-1.2568e-002	3.856e-003	
8543	3.3095e-002	-1.242e-002	3.837e-003	
8545	3.1108e-002	-1.2244e-002	3.8132e-003	
8547	2.9129e-002	-1.2031e-002	3.7831e-003	
8549	2.7158e-002	-1.1771e-002	3.7453e-003	
8551	2.5195e-002	-1.147e-002	3.7016e-003	
8553	2.3235e-002	-1.1138e-002	3.6554e-003	
8555	2.1275e-002	-1.0789e-002	3.6096e-003	
8557	1.9313e-002	-1.0435e-002	3.567e-003	
8559	1.7351e-002	-1.0085e-002	3.5302e-003	
8561	1.5402e-002	-9.7274e-003	3.4968e-003	
8563	1.3475e-002	-9.3347e-003	3.4634e-003	
8565	1.1583e-002	-8.8822e-003	3.4281e-003	
8567	9.7307e-003	-8.3472e-003	3.3907e-003	
8569	7.9013e-003	-7.7071e-003	3.3538e-003	
8571	6.0357e-003	-6.9899e-003	3.3371e-003	
8573	4.0654e-003	-6.272e-003	3.3564e-003	
8575	1.9152e-003	-5.7001e-003	3.405e-003	
8577	-4.235e-004	-5.5882e-003	3.4329e-003	
8579	-2.7116e-003	-6.1794e-003	3.416e-003	
8581	-4.734e-003	-7.2013e-003	3.4209e-003	
8583	-6.5051e-003	-8.402e-003	3.4966e-003	
8585	-8.0864e-003	-9.6832e-003	3.6446e-003	
8587	-9.5283e-003	-1.1009e-002	3.8502e-003	
8589	-1.0866e-002	-1.2363e-002	4.0979e-003	
8591	-1.2133e-002	-1.3726e-002	4.3734e-003	
8593	-1.3363e-002	-1.5089e-002	4.666e-003	
8595	-1.4583e-002	-1.6445e-002	4.9687e-003	
8597	-1.5818e-002	-1.7787e-002	5.2772e-003	
8599	-1.7096e-002	-1.9105e-002	5.5878e-003	
8601	-1.8453e-002	-2.0379e-002	5.8967e-003	
8603	-1.9943e-002	-2.1576e-002	6.1965e-003	
8605	-2.161e-002	-2.2628e-002	6.4707e-003	
8607	-2.3451e-002	-2.3478e-002	6.6999e-003	
8609	-2.5422e-002	-2.4083e-002	6.868e-003	
8611	-2.7462e-002	-2.4446e-002	6.9708e-003	
8613	-2.9518e-002	-2.4609e-002	7.0191e-003	
8615	-3.1563e-002	-2.4634e-002	7.0297e-003	
8617	-3.3588e-002	-2.457e-002	7.0169e-003	
8619	-3.5595e-002	-2.4466e-002	6.9936e-003	
8621	-3.7588e-002	-2.4365e-002	6.9717e-003	
8623	-3.9575e-002	-2.431e-002	6.9616e-003	
8625	-4.1565e-002	-2.4312e-002	6.9662e-003	
8627	-4.3561e-002	-2.4351e-002	6.9806e-003	
8629	-4.5564e-002	-2.4406e-002	6.9992e-003	
8631	-4.7573e-002	-2.4454e-002	7.016e-003	
8633	-4.9585e-002	-2.4474e-002	7.0258e-003	
8635	-5.1595e-002	-2.4465e-002	7.0284e-003	
8637	-5.3602e-002	-2.4438e-002	7.0266e-003	
8639	-5.5606e-002	-2.4407e-002	7.0237e-003	
8641	-5.7608e-002	-2.4382e-002	7.0226e-003	
8643	-5.9609e-002	-2.4374e-002	7.0257e-003	
8645	-6.1611e-002	-2.4379e-002	7.0325e-003	
8647	-6.3614e-002	-2.4392e-002	7.0413e-003	
8649	-6.5619e-002	-2.4406e-002	7.0505e-003	
8651	-6.7625e-002	-2.4416e-002	7.0585e-003	
8653	-6.9631e-002	-2.4416e-002	7.0644e-003	
8655	-7.1636e-002	-2.4409e-002	7.0687e-003	
8657	-7.3641e-002	-2.4399e-002	7.0723e-003	
8659	-7.5645e-002	-2.4389e-002	7.076e-003	
8661	-7.7648e-002	-2.4383e-002	7.0807e-003	
8663	-7.9652e-002	-2.4382e-002	7.0868e-003	
8665	-8.1656e-002	-2.4383e-002	7.0938e-003	
8667	-8.3661e-002	-2.4386e-002	7.1012e-003	
8669	-8.5665e-002	-2.4389e-002	7.1085e-003	
8671	-8.767e-002	-2.4388e-002	7.1154e-003	
8673	-8.9675e-002	-2.4385e-002	7.1216e-003	
8675	-9.1679e-002	-2.4381e-002	7.1276e-003	
8677	-9.3684e-002	-2.4376e-002	7.1337e-003	
8679	-9.5688e-002	-2.4372e-002	7.1402e-003	
8681	-9.7692e-002	-2.4371e-002	7.1473e-003	
8683	-9.9697e-002	-2.4371e-002	7.1549e-003	
8685	-0.1017	-2.4371e-002	7.1625e-003	
8687	-0.10371	-2.4369e-002	7.1698e-003	
